year,agebin,thous,birthrate
1976,15-19,10582,52.8
1976,20-24,9901,110.3
1976,25-29,9157,106.2
1976,30-34,7317,53.6
1976,35-39,6075,19
1976,40-44,5689,4.3
1976,45-49,5994,0.2
1976,remainder,153011,0
1977,10-14,9550,1.2
1977,15-19,10581,52.8
1977,20-24,10152,112.9
1977,25-29,9157,111
1977,30-34,7928,56.4
1977,35-39,6283,19.2
1977,40-44,5713,4.2
1977,45-49,5910,0.2
1977,remainder,154486,0
1978,10-14,9262,1.2
1978,15-19,10555,51.5
1978,20-24,10373,109.9
1978,25-29,9357,108.5
1978,30-34,8205,57.8
1978,35-39,6651,19
1978,40-44,5780,3.9
1978,45-49,5838,0.2
1978,remainder,156074,0
1979,10-14,9031,1.2
1979,15-19,10498,52.3
1979,20-24,10541,112.8
1979,25-29,9597,111.4
1979,30-34,8579,60.3
1979,35-39,6918,19.5
1979,40-44,5883,3.9
1979,45-49,5766,0.2
1979,remainder,157754,0
1980,10-14,8923,1.1
1980,15-19,10377,53
1980,20-24,10680,115.1
1980,25-29,9896,112.9
1980,30-34,8974,61.9
1980,35-39,7159,19.8
1980,40-44,5988,3.9
1980,45-49,5677,0.2
1980,remainder,159581,0
1981,10-14,8953,1.1
1981,15-19,10080,52.7
1981,20-24,10790,111.8
1981,25-29,10132,112
1981,30-34,9481,61.4
1981,35-39,7310,20
1981,40-44,6136,3.8
1981,45-49,5643,0.2
1981,remainder,161112,0
1982,10-14,8877,1.1
1982,15-19,9779,52.9
1982,20-24,10781,111.3
1982,25-29,10396,111
1982,30-34,9482,64.2
1982,35-39,7918,21.1
1982,40-44,6354,3.9
1982,45-49,5656,0.2
1982,remainder,162753,0
1983,10-14,8747,1.1
1983,15-19,9471,51.7
1983,20-24,10729,108.3
1983,25-29,10607,108.7
1983,30-34,9672,64.6
1983,35-39,8201,22.1
1983,40-44,6699,3.8
1983,45-49,5754,0.2
1983,remainder,164404,0
1984,10-14,8544,1.2
1984,15-19,9231,50.9
1984,20-24,10642,107.3
1984,25-29,10753,108.3
1984,30-34,9900,66.5
1984,35-39,8584,22.8
1984,40-44,6942,3.9
1984,45-49,5872,0.2
1984,remainder,165997,0
1985,10-14,8339,1.2
1985,15-19,9106,51.3
1985,20-24,10482,108.9
1985,25-29,10869,110.5
1985,30-34,10172,68.5
1985,35-39,8967,23.9
1985,40-44,7167,4
1985,45-49,5968,0.2
1985,remainder,167666,0
1986,10-14,8078,1.3
1986,15-19,9126,50.6
1986,20-24,10183,108.2
1986,25-29,10982,109.2
1986,30-34,10407,69.3
1986,35-39,9467,24.3
1986,40-44,7316,4.1
1986,45-49,6110,0.2
1986,remainder,169436,0
1987,10-14,8035,1.3
1987,15-19,9047,51.1
1987,20-24,9877,108.9
1987,25-29,10971,110.8
1987,30-34,10674,71.3
1987,35-39,9466,26.2
1987,40-44,7929,4.4
1987,45-49,6325,0.2
1987,remainder,171103,0
1988,10-14,8102,1.3
1988,15-19,8923,53.6
1988,20-24,9576,111.5
1988,25-29,10924,113.4
1988,30-34,10895,72.7
1988,35-39,9660,27.9
1988,40-44,8210,4.8
1988,45-49,6668,0.2
1988,remainder,172847,0
1989,10-14,8260,1.4
1989,15-19,8721,58.1
1989,20-24,9335,115.4
1989,25-29,10837,116.6
1989,30-34,11059,76.2
1989,35-39,9890,29.7
1989,40-44,8589,5.2
1989,45-49,6920,0.2
1989,remainder,174648,0
1990,10-14,8447,1.5
1990,15-19,8525,60.7
1990,20-24,9223,120.6
1990,25-29,10691,121.8
1990,30-34,11175,79.6
1990,35-39,10167,31
1990,40-44,8987,5.4
1990,45-49,7150,0.2
1990,remainder,176648,0
